2022-11-20 01:07:33,724  WARN | http-nio-8080-exec-6 | org.springframework.web.servlet.PageNotFound           | No mapping for GET /getPositionByCompany/DEFGInc 
2022-11-20 01:07:58,697  INFO | SpringApplicationShutdownHook | org.mongodb.driver.connection                          | Closed connection [connectionId{localValue:3, serverValue:125}] to localhost:27017 because the pool has been closed. 
2022-11-20 01:08:10,101  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | Starting JobPortalApplication using Java 17.0.5 on aum264s-MacBook-Pro.local with PID 70429 (/Users/sabrina/Downloads/job_portal/target/classes started by sabrina in /Users/sabrina/Downloads/job_portal) 
2022-11-20 01:08:10,103  INFO | restartedMain | com.wju.job_portal.JobPortalApplication                | No active profile set, falling back to default profiles: default 
2022-11-20 01:08:10,139  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2022-11-20 01:08:10,140  INFO | restartedMain | o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor      | For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2022-11-20 01:08:10,640  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
2022-11-20 01:08:10,777  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 133 ms. Found 3 MongoDB repository interfaces. 
2022-11-20 01:08:11,346  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat initialized with port(s): 8080 (http) 
2022-11-20 01:08:11,354  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Initializing ProtocolHandler ["http-nio-8080"] 
2022-11-20 01:08:11,355  INFO | restartedMain | org.apache.catalina.core.StandardService               | Starting service [Tomcat] 
2022-11-20 01:08:11,355  INFO | restartedMain | org.apache.catalina.core.StandardEngine                | Starting Servlet engine: [Apache Tomcat/9.0.52] 
2022-11-20 01:08:11,412  INFO | restartedMain | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]      | Initializing Spring embedded WebApplicationContext 
2022-11-20 01:08:11,412  INFO | restartedMain | o.s.b.w.s.context.ServletWebServerApplicationContext   | Root WebApplicationContext: initialization completed in 1272 ms 
2022-11-20 01:08:11,649  INFO | restartedMain | org.mongodb.driver.cluster                             | Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'} 
2022-11-20 01:08:11,701  INFO | cluster-rtt-ClusterId{value='6379ee7bda73b655aa2335f3', description='null'}-localhost:27017 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:2, serverValue:126}] to localhost:27017 
2022-11-20 01:08:11,701  INFO | cluster-ClusterId{value='6379ee7bda73b655aa2335f3', description='null'}-localhost:27017 | org.mongodb.driver.connection                          | Opened connection [connectionId{localValue:1, serverValue:127}] to localhost:27017 
